time_of_day,date,heart,step,time,time_count,day_of_week,week,date_time,user_id
10:45:00,2016-09-27,73,7,10:45:00,43,1,39,2016-09-27 10:45:00,a001
11:00:00,2016-09-27,72,0,11:00:00,44,1,39,2016-09-27 11:00:00,a001
11:15:00,2016-09-27,71,0,11:15:00,45,1,39,2016-09-27 11:15:00,a001
11:30:00,2016-09-27,72,0,11:30:00,46,1,39,2016-09-27 11:30:00,a001
11:45:00,2016-09-27,71,0,11:45:00,47,1,39,2016-09-27 11:45:00,a001
12:00:00,2016-09-27,80,148,12:00:00,48,1,39,2016-09-27 12:00:00,a001
12:15:00,2016-09-27,92,692,12:15:00,49,1,39,2016-09-27 12:15:00,a001
12:30:00,2016-09-27,114,1219,12:30:00,50,1,39,2016-09-27 12:30:00,a001
12:45:00,2016-09-27,88,229,12:45:00,51,1,39,2016-09-27 12:45:00,a001
13:00:00,2016-09-27,82,0,13:00:00,52,1,39,2016-09-27 13:00:00,a001
13:15:00,2016-09-27,75,0,13:15:00,53,1,39,2016-09-27 13:15:00,a001
13:30:00,2016-09-27,74,0,13:30:00,54,1,39,2016-09-27 13:30:00,a001
13:45:00,2016-09-27,80,83,13:45:00,55,1,39,2016-09-27 13:45:00,a001
14:00:00,2016-09-27,65,6,14:00:00,56,1,39,2016-09-27 14:00:00,a001
14:15:00,2016-09-27,65,0,14:15:00,57,1,39,2016-09-27 14:15:00,a001
14:30:00,2016-09-27,65,0,14:30:00,58,1,39,2016-09-27 14:30:00,a001
14:45:00,2016-09-27,70,37,14:45:00,59,1,39,2016-09-27 14:45:00,a001
15:00:00,2016-09-27,74,0,15:00:00,60,1,39,2016-09-27 15:00:00,a001
15:15:00,2016-09-27,74,61,15:15:00,61,1,39,2016-09-27 15:15:00,a001
15:30:00,2016-09-27,73,0,15:30:00,62,1,39,2016-09-27 15:30:00,a001
15:45:00,2016-09-27,76,0,15:45:00,63,1,39,2016-09-27 15:45:00,a001
16:00:00,2016-09-27,71,8,16:00:00,64,1,39,2016-09-27 16:00:00,a001
16:15:00,2016-09-27,67,8,16:15:00,65,1,39,2016-09-27 16:15:00,a001
16:30:00,2016-09-27,59,0,16:30:00,66,1,39,2016-09-27 16:30:00,a001
16:45:00,2016-09-27,55,0,16:45:00,67,1,39,2016-09-27 16:45:00,a001
17:00:00,2016-09-27,72,127,17:00:00,68,1,39,2016-09-27 17:00:00,a001
17:15:00,2016-09-27,69,7,17:15:00,69,1,39,2016-09-27 17:15:00,a001
17:30:00,2016-09-27,71,6,17:30:00,70,1,39,2016-09-27 17:30:00,a001
17:45:00,2016-09-27,70,0,17:45:00,71,1,39,2016-09-27 17:45:00,a001
18:00:00,2016-09-27,72,0,18:00:00,72,1,39,2016-09-27 18:00:00,a001
18:15:00,2016-09-27,74,0,18:15:00,73,1,39,2016-09-27 18:15:00,a001
18:30:00,2016-09-27,71,0,18:30:00,74,1,39,2016-09-27 18:30:00,a001
18:45:00,2016-09-27,72,0,18:45:00,75,1,39,2016-09-27 18:45:00,a001
19:00:00,2016-09-27,70,0,19:00:00,76,1,39,2016-09-27 19:00:00,a001
19:15:00,2016-09-27,70,12,19:15:00,77,1,39,2016-09-27 19:15:00,a001
19:30:00,2016-09-27,84,225,19:30:00,78,1,39,2016-09-27 19:30:00,a001
19:45:00,2016-09-27,91,417,19:45:00,79,1,39,2016-09-27 19:45:00,a001
20:00:00,2016-09-27,75,0,20:00:00,80,1,39,2016-09-27 20:00:00,a001
20:15:00,2016-09-27,82,0,20:15:00,81,1,39,2016-09-27 20:15:00,a001
20:30:00,2016-09-27,79,105,20:30:00,82,1,39,2016-09-27 20:30:00,a001
20:45:00,2016-09-27,74,14,20:45:00,83,1,39,2016-09-27 20:45:00,a001
21:00:00,2016-09-27,71,0,21:00:00,84,1,39,2016-09-27 21:00:00,a001
21:15:00,2016-09-27,72,0,21:15:00,85,1,39,2016-09-27 21:15:00,a001
21:30:00,2016-09-27,76,0,21:30:00,86,1,39,2016-09-27 21:30:00,a001
21:45:00,2016-09-27,74,7,21:45:00,87,1,39,2016-09-27 21:45:00,a001
22:00:00,2016-09-27,69,0,22:00:00,88,1,39,2016-09-27 22:00:00,a001
22:15:00,2016-09-27,70,7,22:15:00,89,1,39,2016-09-27 22:15:00,a001
22:30:00,2016-09-27,73,0,22:30:00,90,1,39,2016-09-27 22:30:00,a001
22:45:00,2016-09-27,70,14,22:45:00,91,1,39,2016-09-27 22:45:00,a001
23:00:00,2016-09-27,0,0,23:00:00,92,1,39,2016-09-27 23:00:00,a001
23:15:00,2016-09-27,0,0,23:15:00,93,1,39,2016-09-27 23:15:00,a001
23:30:00,2016-09-27,88,6,23:30:00,94,1,39,2016-09-27 23:30:00,a001
23:45:00,2016-09-27,87,61,23:45:00,95,1,39,2016-09-27 23:45:00,a001
00:00:00,2016-09-28,67,0,00:00:00,0,2,39,2016-09-28 00:00:00,a001
00:15:00,2016-09-28,69,0,00:15:00,1,2,39,2016-09-28 00:15:00,a001
00:30:00,2016-09-28,61,47,00:30:00,2,2,39,2016-09-28 00:30:00,a001
00:45:00,2016-09-28,55,0,00:45:00,3,2,39,2016-09-28 00:45:00,a001
01:00:00,2016-09-28,54,0,01:00:00,4,2,39,2016-09-28 01:00:00,a001
01:15:00,2016-09-28,57,40,01:15:00,5,2,39,2016-09-28 01:15:00,a001
01:30:00,2016-09-28,60,6,01:30:00,6,2,39,2016-09-28 01:30:00,a001
01:45:00,2016-09-28,53,0,01:45:00,7,2,39,2016-09-28 01:45:00,a001
02:00:00,2016-09-28,52,0,02:00:00,8,2,39,2016-09-28 02:00:00,a001
02:15:00,2016-09-28,53,0,02:15:00,9,2,39,2016-09-28 02:15:00,a001
02:30:00,2016-09-28,49,0,02:30:00,10,2,39,2016-09-28 02:30:00,a001
02:45:00,2016-09-28,56,0,02:45:00,11,2,39,2016-09-28 02:45:00,a001
03:00:00,2016-09-28,56,0,03:00:00,12,2,39,2016-09-28 03:00:00,a001
03:15:00,2016-09-28,51,0,03:15:00,13,2,39,2016-09-28 03:15:00,a001
03:30:00,2016-09-28,52,0,03:30:00,14,2,39,2016-09-28 03:30:00,a001
03:45:00,2016-09-28,55,0,03:45:00,15,2,39,2016-09-28 03:45:00,a001
04:00:00,2016-09-28,52,0,04:00:00,16,2,39,2016-09-28 04:00:00,a001
04:15:00,2016-09-28,51,0,04:15:00,17,2,39,2016-09-28 04:15:00,a001
04:30:00,2016-09-28,56,0,04:30:00,18,2,39,2016-09-28 04:30:00,a001
04:45:00,2016-09-28,55,8,04:45:00,19,2,39,2016-09-28 04:45:00,a001
05:00:00,2016-09-28,54,0,05:00:00,20,2,39,2016-09-28 05:00:00,a001
05:15:00,2016-09-28,52,0,05:15:00,21,2,39,2016-09-28 05:15:00,a001
05:30:00,2016-09-28,51,0,05:30:00,22,2,39,2016-09-28 05:30:00,a001
05:45:00,2016-09-28,51,0,05:45:00,23,2,39,2016-09-28 05:45:00,a001
06:00:00,2016-09-28,50,0,06:00:00,24,2,39,2016-09-28 06:00:00,a001
06:15:00,2016-09-28,57,0,06:15:00,25,2,39,2016-09-28 06:15:00,a001
06:30:00,2016-09-28,55,0,06:30:00,26,2,39,2016-09-28 06:30:00,a001
06:45:00,2016-09-28,52,0,06:45:00,27,2,39,2016-09-28 06:45:00,a001
07:00:00,2016-09-28,55,29,07:00:00,28,2,39,2016-09-28 07:00:00,a001
07:15:00,2016-09-28,52,0,07:15:00,29,2,39,2016-09-28 07:15:00,a001
07:30:00,2016-09-28,53,0,07:30:00,30,2,39,2016-09-28 07:30:00,a001
07:45:00,2016-09-28,55,0,07:45:00,31,2,39,2016-09-28 07:45:00,a001
08:00:00,2016-09-28,56,0,08:00:00,32,2,39,2016-09-28 08:00:00,a001
08:15:00,2016-09-28,55,0,08:15:00,33,2,39,2016-09-28 08:15:00,a001
08:30:00,2016-09-28,64,0,08:30:00,34,2,39,2016-09-28 08:30:00,a001
08:45:00,2016-09-28,64,26,08:45:00,35,2,39,2016-09-28 08:45:00,a001
09:00:00,2016-09-28,92,375,09:00:00,36,2,39,2016-09-28 09:00:00,a001
09:15:00,2016-09-28,87,293,09:15:00,37,2,39,2016-09-28 09:15:00,a001
09:30:00,2016-09-28,78,48,09:30:00,38,2,39,2016-09-28 09:30:00,a001
09:45:00,2016-09-28,79,68,09:45:00,39,2,39,2016-09-28 09:45:00,a001
10:00:00,2016-09-28,76,0,10:00:00,40,2,39,2016-09-28 10:00:00,a001
10:15:00,2016-09-28,74,8,10:15:00,41,2,39,2016-09-28 10:15:00,a001
10:30:00,2016-09-28,76,0,10:30:00,42,2,39,2016-09-28 10:30:00,a001
10:45:00,2016-09-28,72,0,10:45:00,43,2,39,2016-09-28 10:45:00,a001
11:00:00,2016-09-28,71,0,11:00:00,44,2,39,2016-09-28 11:00:00,a001
11:15:00,2016-09-28,68,0,11:15:00,45,2,39,2016-09-28 11:15:00,a001
11:30:00,2016-09-28,88,259,11:30:00,46,2,39,2016-09-28 11:30:00,a001
11:45:00,2016-09-28,90,151,11:45:00,47,2,39,2016-09-28 11:45:00,a001
12:00:00,2016-09-28,79,57,12:00:00,48,2,39,2016-09-28 12:00:00,a001
12:15:00,2016-09-28,71,69,12:15:00,49,2,39,2016-09-28 12:15:00,a001
12:30:00,2016-09-28,69,0,12:30:00,50,2,39,2016-09-28 12:30:00,a001
12:45:00,2016-09-28,59,0,12:45:00,51,2,39,2016-09-28 12:45:00,a001
13:00:00,2016-09-28,62,0,13:00:00,52,2,39,2016-09-28 13:00:00,a001
13:15:00,2016-09-28,82,47,13:15:00,53,2,39,2016-09-28 13:15:00,a001
13:30:00,2016-09-28,98,408,13:30:00,54,2,39,2016-09-28 13:30:00,a001
13:45:00,2016-09-28,96,699,13:45:00,55,2,39,2016-09-28 13:45:00,a001
14:00:00,2016-09-28,88,8,14:00:00,56,2,39,2016-09-28 14:00:00,a001
14:15:00,2016-09-28,98,31,14:15:00,57,2,39,2016-09-28 14:15:00,a001
14:30:00,2016-09-28,85,7,14:30:00,58,2,39,2016-09-28 14:30:00,a001
14:45:00,2016-09-28,75,47,14:45:00,59,2,39,2016-09-28 14:45:00,a001
15:00:00,2016-09-28,78,27,15:00:00,60,2,39,2016-09-28 15:00:00,a001
15:15:00,2016-09-28,76,0,15:15:00,61,2,39,2016-09-28 15:15:00,a001
15:30:00,2016-09-28,74,0,15:30:00,62,2,39,2016-09-28 15:30:00,a001
15:45:00,2016-09-28,80,10,15:45:00,63,2,39,2016-09-28 15:45:00,a001
16:00:00,2016-09-28,79,0,16:00:00,64,2,39,2016-09-28 16:00:00,a001
16:15:00,2016-09-28,78,0,16:15:00,65,2,39,2016-09-28 16:15:00,a001
16:30:00,2016-09-28,77,0,16:30:00,66,2,39,2016-09-28 16:30:00,a001
16:45:00,2016-09-28,72,0,16:45:00,67,2,39,2016-09-28 16:45:00,a001
17:00:00,2016-09-28,73,0,17:00:00,68,2,39,2016-09-28 17:00:00,a001
17:15:00,2016-09-28,77,18,17:15:00,69,2,39,2016-09-28 17:15:00,a001
17:30:00,2016-09-28,77,0,17:30:00,70,2,39,2016-09-28 17:30:00,a001
17:45:00,2016-09-28,75,0,17:45:00,71,2,39,2016-09-28 17:45:00,a001
18:00:00,2016-09-28,76,7,18:00:00,72,2,39,2016-09-28 18:00:00,a001
18:15:00,2016-09-28,73,0,18:15:00,73,2,39,2016-09-28 18:15:00,a001
18:30:00,2016-09-28,69,10,18:30:00,74,2,39,2016-09-28 18:30:00,a001
18:45:00,2016-09-28,70,0,18:45:00,75,2,39,2016-09-28 18:45:00,a001
19:00:00,2016-09-28,68,0,19:00:00,76,2,39,2016-09-28 19:00:00,a001
19:15:00,2016-09-28,66,0,19:15:00,77,2,39,2016-09-28 19:15:00,a001
19:30:00,2016-09-28,78,109,19:30:00,78,2,39,2016-09-28 19:30:00,a001
19:45:00,2016-09-28,75,16,19:45:00,79,2,39,2016-09-28 19:45:00,a001
20:00:00,2016-09-28,76,44,20:00:00,80,2,39,2016-09-28 20:00:00,a001
20:15:00,2016-09-28,65,0,20:15:00,81,2,39,2016-09-28 20:15:00,a001
20:30:00,2016-09-28,66,0,20:30:00,82,2,39,2016-09-28 20:30:00,a001
20:45:00,2016-09-28,66,8,20:45:00,83,2,39,2016-09-28 20:45:00,a001
21:00:00,2016-09-28,71,77,21:00:00,84,2,39,2016-09-28 21:00:00,a001
21:15:00,2016-09-28,65,35,21:15:00,85,2,39,2016-09-28 21:15:00,a001
21:30:00,2016-09-28,61,0,21:30:00,86,2,39,2016-09-28 21:30:00,a001
21:45:00,2016-09-28,62,0,21:45:00,87,2,39,2016-09-28 21:45:00,a001
22:00:00,2016-09-28,61,0,22:00:00,88,2,39,2016-09-28 22:00:00,a001
22:15:00,2016-09-28,61,0,22:15:00,89,2,39,2016-09-28 22:15:00,a001
22:30:00,2016-09-28,61,0,22:30:00,90,2,39,2016-09-28 22:30:00,a001
22:45:00,2016-09-28,63,0,22:45:00,91,2,39,2016-09-28 22:45:00,a001
23:00:00,2016-09-28,62,0,23:00:00,92,2,39,2016-09-28 23:00:00,a001
23:15:00,2016-09-28,68,42,23:15:00,93,2,39,2016-09-28 23:15:00,a001
23:30:00,2016-09-28,0,0,23:30:00,94,2,39,2016-09-28 23:30:00,a001
23:45:00,2016-09-28,77,4,23:45:00,95,2,39,2016-09-28 23:45:00,a001
00:00:00,2016-09-29,82,59,00:00:00,0,3,39,2016-09-29 00:00:00,a001
00:15:00,2016-09-29,77,7,00:15:00,1,3,39,2016-09-29 00:15:00,a001
00:30:00,2016-09-29,81,190,00:30:00,2,3,39,2016-09-29 00:30:00,a001
00:45:00,2016-09-29,66,34,00:45:00,3,3,39,2016-09-29 00:45:00,a001
01:00:00,2016-09-29,55,0,01:00:00,4,3,39,2016-09-29 01:00:00,a001
01:15:00,2016-09-29,59,66,01:15:00,5,3,39,2016-09-29 01:15:00,a001
01:30:00,2016-09-29,65,66,01:30:00,6,3,39,2016-09-29 01:30:00,a001
01:45:00,2016-09-29,52,0,01:45:00,7,3,39,2016-09-29 01:45:00,a001
02:00:00,2016-09-29,50,0,02:00:00,8,3,39,2016-09-29 02:00:00,a001
02:15:00,2016-09-29,48,0,02:15:00,9,3,39,2016-09-29 02:15:00,a001
02:30:00,2016-09-29,52,0,02:30:00,10,3,39,2016-09-29 02:30:00,a001
02:45:00,2016-09-29,55,0,02:45:00,11,3,39,2016-09-29 02:45:00,a001
03:00:00,2016-09-29,53,0,03:00:00,12,3,39,2016-09-29 03:00:00,a001
03:15:00,2016-09-29,50,0,03:15:00,13,3,39,2016-09-29 03:15:00,a001
03:30:00,2016-09-29,50,8,03:30:00,14,3,39,2016-09-29 03:30:00,a001
03:45:00,2016-09-29,49,0,03:45:00,15,3,39,2016-09-29 03:45:00,a001
04:00:00,2016-09-29,53,0,04:00:00,16,3,39,2016-09-29 04:00:00,a001
04:15:00,2016-09-29,54,0,04:15:00,17,3,39,2016-09-29 04:15:00,a001
04:30:00,2016-09-29,52,0,04:30:00,18,3,39,2016-09-29 04:30:00,a001
04:45:00,2016-09-29,50,0,04:45:00,19,3,39,2016-09-29 04:45:00,a001
05:00:00,2016-09-29,52,0,05:00:00,20,3,39,2016-09-29 05:00:00,a001
05:15:00,2016-09-29,52,0,05:15:00,21,3,39,2016-09-29 05:15:00,a001
05:30:00,2016-09-29,54,0,05:30:00,22,3,39,2016-09-29 05:30:00,a001
05:45:00,2016-09-29,56,0,05:45:00,23,3,39,2016-09-29 05:45:00,a001
06:00:00,2016-09-29,58,0,06:00:00,24,3,39,2016-09-29 06:00:00,a001
06:15:00,2016-09-29,57,0,06:15:00,25,3,39,2016-09-29 06:15:00,a001
06:30:00,2016-09-29,56,0,06:30:00,26,3,39,2016-09-29 06:30:00,a001
06:45:00,2016-09-29,54,0,06:45:00,27,3,39,2016-09-29 06:45:00,a001
07:00:00,2016-09-29,54,0,07:00:00,28,3,39,2016-09-29 07:00:00,a001
07:15:00,2016-09-29,56,0,07:15:00,29,3,39,2016-09-29 07:15:00,a001
07:30:00,2016-09-29,59,0,07:30:00,30,3,39,2016-09-29 07:30:00,a001
07:45:00,2016-09-29,56,0,07:45:00,31,3,39,2016-09-29 07:45:00,a001
08:00:00,2016-09-29,63,0,08:00:00,32,3,39,2016-09-29 08:00:00,a001
08:15:00,2016-09-29,73,58,08:15:00,33,3,39,2016-09-29 08:15:00,a001
08:30:00,2016-09-29,78,155,08:30:00,34,3,39,2016-09-29 08:30:00,a001
08:45:00,2016-09-29,82,321,08:45:00,35,3,39,2016-09-29 08:45:00,a001
09:00:00,2016-09-29,94,582,09:00:00,36,3,39,2016-09-29 09:00:00,a001
09:15:00,2016-09-29,95,311,09:15:00,37,3,39,2016-09-29 09:15:00,a001
09:30:00,2016-09-29,78,0,09:30:00,38,3,39,2016-09-29 09:30:00,a001
09:45:00,2016-09-29,75,0,09:45:00,39,3,39,2016-09-29 09:45:00,a001
10:00:00,2016-09-29,74,0,10:00:00,40,3,39,2016-09-29 10:00:00,a001
10:15:00,2016-09-29,78,28,10:15:00,41,3,39,2016-09-29 10:15:00,a001
10:30:00,2016-09-29,75,0,10:30:00,42,3,39,2016-09-29 10:30:00,a001
10:45:00,2016-09-29,79,18,10:45:00,43,3,39,2016-09-29 10:45:00,a001
11:00:00,2016-09-29,72,0,11:00:00,44,3,39,2016-09-29 11:00:00,a001
11:15:00,2016-09-29,70,0,11:15:00,45,3,39,2016-09-29 11:15:00,a001
11:30:00,2016-09-29,68,0,11:30:00,46,3,39,2016-09-29 11:30:00,a001
11:45:00,2016-09-29,67,0,11:45:00,47,3,39,2016-09-29 11:45:00,a001
12:00:00,2016-09-29,69,0,12:00:00,48,3,39,2016-09-29 12:00:00,a001
12:15:00,2016-09-29,73,0,12:15:00,49,3,39,2016-09-29 12:15:00,a001
12:30:00,2016-09-29,68,0,12:30:00,50,3,39,2016-09-29 12:30:00,a001
12:45:00,2016-09-29,66,0,12:45:00,51,3,39,2016-09-29 12:45:00,a001
13:00:00,2016-09-29,68,0,13:00:00,52,3,39,2016-09-29 13:00:00,a001
13:15:00,2016-09-29,82,95,13:15:00,53,3,39,2016-09-29 13:15:00,a001
13:30:00,2016-09-29,96,725,13:30:00,54,3,39,2016-09-29 13:30:00,a001
13:45:00,2016-09-29,85,0,13:45:00,55,3,39,2016-09-29 13:45:00,a001
14:00:00,2016-09-29,95,95,14:00:00,56,3,39,2016-09-29 14:00:00,a001
14:15:00,2016-09-29,82,25,14:15:00,57,3,39,2016-09-29 14:15:00,a001
14:30:00,2016-09-29,71,0,14:30:00,58,3,39,2016-09-29 14:30:00,a001
14:45:00,2016-09-29,66,0,14:45:00,59,3,39,2016-09-29 14:45:00,a001
15:00:00,2016-09-29,59,0,15:00:00,60,3,39,2016-09-29 15:00:00,a001
15:15:00,2016-09-29,64,8,15:15:00,61,3,39,2016-09-29 15:15:00,a001
15:30:00,2016-09-29,78,57,15:30:00,62,3,39,2016-09-29 15:30:00,a001
15:45:00,2016-09-29,80,8,15:45:00,63,3,39,2016-09-29 15:45:00,a001
16:00:00,2016-09-29,83,6,16:00:00,64,3,39,2016-09-29 16:00:00,a001
16:15:00,2016-09-29,74,0,16:15:00,65,3,39,2016-09-29 16:15:00,a001
16:30:00,2016-09-29,80,6,16:30:00,66,3,39,2016-09-29 16:30:00,a001
16:45:00,2016-09-29,78,33,16:45:00,67,3,39,2016-09-29 16:45:00,a001
17:00:00,2016-09-29,74,7,17:00:00,68,3,39,2016-09-29 17:00:00,a001
17:15:00,2016-09-29,71,8,17:15:00,69,3,39,2016-09-29 17:15:00,a001
17:30:00,2016-09-29,71,14,17:30:00,70,3,39,2016-09-29 17:30:00,a001
17:45:00,2016-09-29,71,17,17:45:00,71,3,39,2016-09-29 17:45:00,a001
18:00:00,2016-09-29,72,3,18:00:00,72,3,39,2016-09-29 18:00:00,a001
18:15:00,2016-09-29,69,23,18:15:00,73,3,39,2016-09-29 18:15:00,a001
18:30:00,2016-09-29,65,9,18:30:00,74,3,39,2016-09-29 18:30:00,a001
18:45:00,2016-09-29,70,6,18:45:00,75,3,39,2016-09-29 18:45:00,a001
19:00:00,2016-09-29,83,50,19:00:00,76,3,39,2016-09-29 19:00:00,a001
19:15:00,2016-09-29,71,0,19:15:00,77,3,39,2016-09-29 19:15:00,a001
19:30:00,2016-09-29,91,376,19:30:00,78,3,39,2016-09-29 19:30:00,a001
19:45:00,2016-09-29,83,52,19:45:00,79,3,39,2016-09-29 19:45:00,a001
20:00:00,2016-09-29,94,355,20:00:00,80,3,39,2016-09-29 20:00:00,a001
20:15:00,2016-09-29,109,1176,20:15:00,81,3,39,2016-09-29 20:15:00,a001
20:30:00,2016-09-29,111,1602,20:30:00,82,3,39,2016-09-29 20:30:00,a001
20:45:00,2016-09-29,112,1400,20:45:00,83,3,39,2016-09-29 20:45:00,a001
21:00:00,2016-09-29,0,0,21:00:00,84,3,39,2016-09-29 21:00:00,a001
21:15:00,2016-09-29,0,0,21:15:00,85,3,39,2016-09-29 21:15:00,a001
21:30:00,2016-09-29,0,0,21:30:00,86,3,39,2016-09-29 21:30:00,a001
21:45:00,2016-09-29,0,0,21:45:00,87,3,39,2016-09-29 21:45:00,a001
22:00:00,2016-09-29,0,0,22:00:00,88,3,39,2016-09-29 22:00:00,a001
22:15:00,2016-09-29,0,0,22:15:00,89,3,39,2016-09-29 22:15:00,a001
22:30:00,2016-09-29,103,0,22:30:00,90,3,39,2016-09-29 22:30:00,a001
22:45:00,2016-09-29,87,0,22:45:00,91,3,39,2016-09-29 22:45:00,a001
23:00:00,2016-09-29,72,0,23:00:00,92,3,39,2016-09-29 23:00:00,a001
23:15:00,2016-09-29,62,0,23:15:00,93,3,39,2016-09-29 23:15:00,a001
23:30:00,2016-09-29,90,191,23:30:00,94,3,39,2016-09-29 23:30:00,a001
23:45:00,2016-09-29,78,49,23:45:00,95,3,39,2016-09-29 23:45:00,a001
00:00:00,2016-09-30,63,34,00:00:00,0,4,39,2016-09-30 00:00:00,a001
00:15:00,2016-09-30,57,0,00:15:00,1,4,39,2016-09-30 00:15:00,a001
00:30:00,2016-09-30,51,0,00:30:00,2,4,39,2016-09-30 00:30:00,a001
00:45:00,2016-09-30,50,0,00:45:00,3,4,39,2016-09-30 00:45:00,a001
01:00:00,2016-09-30,52,0,01:00:00,4,4,39,2016-09-30 01:00:00,a001
01:15:00,2016-09-30,49,0,01:15:00,5,4,39,2016-09-30 01:15:00,a001
01:30:00,2016-09-30,51,0,01:30:00,6,4,39,2016-09-30 01:30:00,a001
01:45:00,2016-09-30,54,0,01:45:00,7,4,39,2016-09-30 01:45:00,a001
02:00:00,2016-09-30,54,0,02:00:00,8,4,39,2016-09-30 02:00:00,a001
02:15:00,2016-09-30,52,8,02:15:00,9,4,39,2016-09-30 02:15:00,a001
02:30:00,2016-09-30,52,0,02:30:00,10,4,39,2016-09-30 02:30:00,a001
02:45:00,2016-09-30,55,4,02:45:00,11,4,39,2016-09-30 02:45:00,a001
03:00:00,2016-09-30,54,0,03:00:00,12,4,39,2016-09-30 03:00:00,a001
03:15:00,2016-09-30,54,0,03:15:00,13,4,39,2016-09-30 03:15:00,a001
03:30:00,2016-09-30,55,0,03:30:00,14,4,39,2016-09-30 03:30:00,a001
03:45:00,2016-09-30,53,0,03:45:00,15,4,39,2016-09-30 03:45:00,a001
04:00:00,2016-09-30,50,0,04:00:00,16,4,39,2016-09-30 04:00:00,a001
04:15:00,2016-09-30,52,0,04:15:00,17,4,39,2016-09-30 04:15:00,a001
04:30:00,2016-09-30,55,9,04:30:00,18,4,39,2016-09-30 04:30:00,a001
04:45:00,2016-09-30,51,6,04:45:00,19,4,39,2016-09-30 04:45:00,a001
05:00:00,2016-09-30,51,0,05:00:00,20,4,39,2016-09-30 05:00:00,a001
05:15:00,2016-09-30,57,0,05:15:00,21,4,39,2016-09-30 05:15:00,a001
05:30:00,2016-09-30,53,0,05:30:00,22,4,39,2016-09-30 05:30:00,a001
05:45:00,2016-09-30,53,0,05:45:00,23,4,39,2016-09-30 05:45:00,a001
06:00:00,2016-09-30,51,0,06:00:00,24,4,39,2016-09-30 06:00:00,a001
06:15:00,2016-09-30,50,0,06:15:00,25,4,39,2016-09-30 06:15:00,a001
06:30:00,2016-09-30,52,8,06:30:00,26,4,39,2016-09-30 06:30:00,a001
06:45:00,2016-09-30,51,0,06:45:00,27,4,39,2016-09-30 06:45:00,a001
07:00:00,2016-09-30,59,0,07:00:00,28,4,39,2016-09-30 07:00:00,a001
07:15:00,2016-09-30,61,11,07:15:00,29,4,39,2016-09-30 07:15:00,a001
07:30:00,2016-09-30,74,126,07:30:00,30,4,39,2016-09-30 07:30:00,a001
07:45:00,2016-09-30,78,233,07:45:00,31,4,39,2016-09-30 07:45:00,a001
08:00:00,2016-09-30,80,20,08:00:00,32,4,39,2016-09-30 08:00:00,a001
08:15:00,2016-09-30,0,0,08:15:00,33,4,39,2016-09-30 08:15:00,a001
08:30:00,2016-09-30,0,0,08:30:00,34,4,39,2016-09-30 08:30:00,a001
08:45:00,2016-09-30,0,0,08:45:00,35,4,39,2016-09-30 08:45:00,a001
09:00:00,2016-09-30,0,0,09:00:00,36,4,39,2016-09-30 09:00:00,a001
09:15:00,2016-09-30,0,0,09:15:00,37,4,39,2016-09-30 09:15:00,a001
09:30:00,2016-09-30,103,396,09:30:00,38,4,39,2016-09-30 09:30:00,a001
09:45:00,2016-09-30,84,214,09:45:00,39,4,39,2016-09-30 09:45:00,a001
10:00:00,2016-09-30,75,0,10:00:00,40,4,39,2016-09-30 10:00:00,a001
10:15:00,2016-09-30,71,0,10:15:00,41,4,39,2016-09-30 10:15:00,a001
10:30:00,2016-09-30,71,0,10:30:00,42,4,39,2016-09-30 10:30:00,a001
10:45:00,2016-09-30,93,801,10:45:00,43,4,39,2016-09-30 10:45:00,a001
11:00:00,2016-09-30,79,163,11:00:00,44,4,39,2016-09-30 11:00:00,a001
11:15:00,2016-09-30,77,134,11:15:00,45,4,39,2016-09-30 11:15:00,a001
11:30:00,2016-09-30,93,782,11:30:00,46,4,39,2016-09-30 11:30:00,a001
11:45:00,2016-09-30,82,0,11:45:00,47,4,39,2016-09-30 11:45:00,a001
12:00:00,2016-09-30,81,15,12:00:00,48,4,39,2016-09-30 12:00:00,a001
12:15:00,2016-09-30,74,0,12:15:00,49,4,39,2016-09-30 12:15:00,a001
12:30:00,2016-09-30,75,151,12:30:00,50,4,39,2016-09-30 12:30:00,a001
12:45:00,2016-09-30,97,232,12:45:00,51,4,39,2016-09-30 12:45:00,a001
13:00:00,2016-09-30,73,21,13:00:00,52,4,39,2016-09-30 13:00:00,a001
13:15:00,2016-09-30,67,0,13:15:00,53,4,39,2016-09-30 13:15:00,a001
13:30:00,2016-09-30,69,10,13:30:00,54,4,39,2016-09-30 13:30:00,a001
13:45:00,2016-09-30,68,0,13:45:00,55,4,39,2016-09-30 13:45:00,a001
14:00:00,2016-09-30,69,7,14:00:00,56,4,39,2016-09-30 14:00:00,a001
14:15:00,2016-09-30,73,0,14:15:00,57,4,39,2016-09-30 14:15:00,a001
14:30:00,2016-09-30,71,0,14:30:00,58,4,39,2016-09-30 14:30:00,a001
14:45:00,2016-09-30,78,110,14:45:00,59,4,39,2016-09-30 14:45:00,a001
15:00:00,2016-09-30,58,0,15:00:00,60,4,39,2016-09-30 15:00:00,a001
15:15:00,2016-09-30,82,313,15:15:00,61,4,39,2016-09-30 15:15:00,a001
15:30:00,2016-09-30,100,417,15:30:00,62,4,39,2016-09-30 15:30:00,a001
15:45:00,2016-09-30,101,561,15:45:00,63,4,39,2016-09-30 15:45:00,a001
16:00:00,2016-09-30,84,39,16:00:00,64,4,39,2016-09-30 16:00:00,a001
